  lèvre,toast,11,1593
trêve,gramme,10,17
gomme,hanche,10,499
lieu,forme,11,1597
nuée,perte,10,80
cloître,gloire,10,346
quille,crêpe,12,1677
flûte,crêpe,11,1468
dieu,gamme,11,1094
race,phase,10,439
secte,vente,11,1577
nuage,nappe,10,569
nuit,quille,10,23
singe,barque,11,1282
chance,transe,10,390
cercle,veste,11,1012
genre,cure,10,422
manche,mouette,10,366
masque,feuille,10,223
poire,bouc,11,984
tact,thème,11,1230
pieuvre,manche,10,377
bûche,drap,10,209
acte,scribe,10,824
truc,secte,10,507
cuisse,vigne,12,1657
crêpe,hache,11,1175
hargne,transe,11,1541
drame,zèle,10,487
gag,trame,11,1185
steak,clope,10,411
grue,crêpe,10,63
prisme,asthme,10,20
aigle,grange,10,265
nacre,fougue,10,420
fraise,luge,10,139
hertz,truc,11,943
siècle,pacte,11,1172
scotch,flamme,10,255
boule,ruche,12,1755
mouche,timbre,11,1119
firme,taxe,11,1633
folk,louange,10,771
louange,vente,11,1278
ambre,mythe,10,271
fuite,clan,11,1517
nymphe,sens,11,1508
tigre,ski,10,435
norme,nuance,10,818
grappe,masque,10,118
dinde,grange,11,1561
doute,tact,9,13
huile,pelle,11,1247
acte,folk,12,1758
culte,taxe,11,1521
herbe,nuit,11,1304
zinc,ligue,10,116
fouet,grotte,10,496
type,trêve,10,538
quartz,flot,11,1084
grange,gant,10,526
lieu,âge,10,687
tort,prisme,11,955
âge,diète,10,742
faute,croupe,12,1661
fugue,nymphe,10,708
quille,bouée,11,1227
chance,prisme,11,1301
dieu,centre,10,804
houle,poigne,10,68
clou,oeil,10,579
nuance,faute,10,295
air,seuil,10,764
diète,tort,10,553
tuile,pelle,12,1763
volt,dose,11,1609
flemme,fuite,10,802
fièvre,cran,10,821
âge,folk,12,1701
foudre,bouc,11,1240
heure,zèle,10,37
poisse,dose,10,596
choix,ruse,11,1447
gloire,hymne,11,1644
fraude,verbe,10,34
herbe,planche,11,1444
science,clan,12,1782
truc,trêve,11,963
stade,griffe,10,384
trame,dose,11,1289
malt,zèle,12,1726
flux,taxe,10,833
perte,prisme,11,1263
rythme,croupe,11,1554
dieu,dette,10,762
gant,âne,10,401
culte,type,10,679
cause,ordre,11,1512
genre,vente,10,688
bouc,sabre,10,290
bec,perle,11,1405
gomme,feutre,11,1653
singe,algue,10,170
taille,norme,11,1619
toast,coude,11,1392
poivre,graine,11,1648
taille,faute,10,503
hymne,charte,11,1539
sens,poigne,10,222
truie,bec,12,1691
feuille,chèque,11,1610
laine,douche,11,1220
croupe,ligue,11,1234
type,taxe,11,1299
tacle,quête,10,285
suite,onde,11,1466
prisme,type,10,283
fuite,chrome,10,50
mouette,guêpe,10,845
flux,fibre,10,326
heure,science,10,768
lèpre,rage,11,1607
brosse,vase,11,1341
tresse,laine,10,902
lèvre,gant,11,1105
flemme,lèpre,11,1058
loi,fuite,11,1542
mangue,chèque,11,1095
toast,grappe,10,862
clan,gain,11,1249
poigne,air,10,320
grappe,truite,11,1550
tacle,hâte,10,514
boule,tronc,10,27
tuile,gorge,11,964
vase,truite,12,1731
vigne,ruche,10,663
poigne,croupe,11,1273
ordre,ruse,10,772
pacte,dogme,10,823
scribe,style,12,1817
clan,norme,10,719
grade,fièvre,11,1228
moufle,cube,11,1225
laine,slip,11,1615
mouche,crabe,11,1525
zone,brèche,10,577
ruche,oeil,10,47
gaufre,tuile,12,1778
pieuvre,cuisse,10,307
mangue,foudre,11,936
huile,parc,10,477
brosse,cube,11,934
truite,clope,10,69
disque,fouet,10,489
vanne,dogme,11,1246
dose,preuve,10,554
fleuve,veste,10,428
luge,chèque,11,1025
gramme,preuve,10,18
tête,coude,12,1819
guêpe,pneu,12,1673
script,cycle,12,1694
style,ordre,11,1587
rythme,taille,10,790
timbre,four,11,927
muse,vrac,10,345
fonte,âme,11,1279
vanne,dieu,11,1505
zèbre,stade,11,1229
truite,cube,11,1197
stade,casque,10,760
style,flemme,10,680
ordre,lieu,10,509
corne,soupe,10,152
mythe,lien,11,1417
tact,brèche,10,115
taxe,quartz,10,344
rythme,rôle,10,815
corne,crêpe,10,841
brèche,gag,10,280
main,singe,11,1628
tort,stress,11,1640
fille,skieur,11,1547
sens,hymne,10,869
gage,type,11,1219
truc,poigne,13,1821
gant,moule,11,1332
bouc,slip,10,127
poigne,loi,11,1478
lièvre,manche,11,1401
poire,torche,11,1425
gaufre,griffe,10,236
mouche,siège,11,1079
poire,tronc,12,1784
luge,chou,11,1280
quiche,bol,10,657
âne,nappe,10,134
chèvre,barbe,10,595
pacte,cycle,10,443
nuit,bec,12,1665
douche,soupe,10,336
flamme,boule,11,1495
prisme,scribe,11,1515
parc,lèvre,12,1795
fièvre,dieu,10,423
gain,doute,10,721
asthme,genre,10,522
gage,heure,10,340
douche,miette,10,148
onde,perte,9,6
nacre,cloître,10,516
science,chose,10,820
houle,hâte,10,461
lèpre,verbe,10,269
dogme,crise,10,616
faute,gloire,10,674
cause,flux,11,1195
poigne,nuée,11,975
trêve,quête,10,867
zèbre,mouette,10,801
bec,couette,11,923
lèvre,lustre,10,619
bulle,ski,10,96
dieu,truc,11,1361
dieu,malt,10,164
bec,skieur,10,44
fugue,thème,10,819
cran,suite,10,834
drap,four,10,703
vrac,ligue,11,989
lieu,fougue,10,126
gorge,mouche,11,1205
lèpre,poigne,11,1335
drame,hargne,10,575
pacte,rage,10,741
mythe,flux,10,750
fraise,clou,11,1062
siège,grue,10,848
soin,vanne,12,1666
onde,script,11,1514
chèque,tigre,10,231
clown,graine,11,977
fille,veste,11,1620
air,volt,10,664
louange,chance,11,1489
couette,grappe,10,55
volt,louange,11,1091
luge,couette,10,451
cible,pacte,10,842
tact,genre,11,1600
poigne,preuve,10,612
timbre,truite,11,1029
quille,cage,12,1745
sabre,ruche,11,1010
dinde,bouée,11,1099
science,nuance,11,1608
perle,gant,11,1068
grange,nuage,10,763
grappe,guêpe,10,650
perle,vitre,10,517
foudre,coude,11,924
ski,âne,10,184
blé,casque,10,232
feuille,cuisse,10,84
veste,bouc,11,1564
zèle,gramme,11,1271
nuage,bague,10,485
lèvre,feuille,10,228
brèche,gain,10,469
crabe,scotch,10,286
vase,algue,11,1432
bague,poule,11,942
soupe,barbe,10,190
drame,poisse,12,1808
fuite,nuée,10,301
cible,moufle,12,1723
gomme,cidre,10,361
feutre,moufle,10,556
moeurs,spasme,10,162
chrome,lieu,11,1150
spasme,ruse,12,1719
gain,transe,11,1182
âge,ruse,11,1254
frange,tête,9,15
vente,taille,11,1627
vrac,zinc,10,825
base,gage,11,1075
bûche,gorge,10,549
culte,flot,10,533
mangue,hanche,10,26
ligue,asthme,10,589
tresse,tête,10,921
pelle,quiche,10,430
hache,frange,11,1290
nuée,phase,11,949
scotch,gorge,10,717
chèvre,flamme,10,415
blé,quiche,10,840
ski,fille,11,1606
skieur,brosse,11,1373
scribe,gamme,11,1300
dette,sens,11,1026
poivre,griffe,11,976
muse,honte,11,1038
spectre,type,11,1390
fille,poire,10,831
brosse,frange,10,896
tresse,fille,11,1654
louange,faute,11,1454
tort,culte,10,532
hache,feutre,11,1295
cure,thème,10,699
mèche,bûche,10,602
rage,nuée,11,1363
clou,cercle,11,1382
cube,fouet,11,1054
chance,air,11,1496
hargne,zèle,11,1614
clan,grade,10,670
siècle,gag,10,441
taxe,membre,10,726
oeil,chiot,11,1531
ordre,tort,11,1388
flûte,trousse,10,712
drame,spectre,11,1538
quête,gré,12,1756
trouille,hertz,11,999
grotte,mouette,10,870
graine,mouche,11,1357
moule,chèvre,10,857
dose,science,10,755
science,trouille,11,1399
clou,manche,11,1580
joute,dette,10,313
cidre,tigre,10,331
quiche,frange,11,1089
zinc,folk,11,959
zone,goût,12,1759
seuil,heure,11,1601
quiche,timbre,10,94
gorge,zèbre,11,1566
script,muse,10,545
thème,vrac,11,1584
hargne,culte,11,1507
tact,seuil,11,1483
ongle,pneu,11,980
style,centre,11,1149
flemme,cran,11,1563
louange,fugue,10,357
cercle,cidre,12,1678
firme,heure,11,1529
gage,truc,10,165
grade,diète,10,199
volt,ligue,10,348
âme,trêve,11,1183
dose,fougue,12,1790
veste,douche,10,161
chiot,gorge,10,256
ski,singe,10,76
vitre,tronc,12,1658
griffe,cercle,11,1165
norme,dette,10,445
manche,truie,11,939
goût,preuve,10,832
gant,singe,11,1173
nuit,vase,10,459
bouc,quiche,11,1463
fille,flamme,10,879
cube,blé,11,1127
blé,clope,11,1569
disque,blé,10,381
perle,bouc,11,970
casque,fleuve,11,1213
vigne,masque,11,981
lustre,hanche,11,1239
cintre,masque,10,720
vrac,flemme,11,1115
gamme,faute,11,1391
cancre,cure,10,581
hargne,truc,12,1679
lièvre,algue,11,1120
bol,hanche,11,1078
nuit,barque,12,1771
hertz,race,11,1151
seuil,dose,10,697
havre,gain,10,213
siège,truie,11,1073
trousse,torche,10,434
crise,ruse,10,393
base,taxe,11,1384
ambre,drame,11,1214
dette,gage,10,830
clope,jupe,10,343
gamme,mythe,12,1699
douche,scotch,12,1669
firme,chose,10,759
mangue,moule,10,662
couette,casque,10,696
grappe,clou,10,103
soin,vrac,12,1767
genre,nuée,10,427
croupe,trêve,10,382
gain,acte,11,1576
mouche,disque,10,81
guêpe,grue,10,288
drap,griffe,11,1436
bol,truite,11,1421
diète,chose,11,1040
phase,frousse,10,494
pneu,cercle,11,1651
doute,cure,10,262
flamme,crabe,10,157
louange,stock,11,997
cube,sucre,11,1639
cause,peine,10,826
lampe,quiche,10,64
luge,gorge,11,1250
houle,gain,10,99
hache,gaufre,11,1030
corne,cuisse,11,1500
guêpe,quille,11,929
main,mouche,10,780
gré,lien,10,588
vigne,lampe,12,1687
diète,joute,11,1021
chips,fouet,11,1130
âge,doute,11,1645
thème,honte,12,1716
frange,graine,11,1076
guêpe,toast,10,158
drame,vanne,11,1065
bouée,ski,11,1526
thème,rage,10,365
gaufre,planche,11,1066
poisse,cycle,9,14
fouet,ongle,11,967
hâte,cycle,10,740
chèvre,poire,9,5
stock,seuil,10,738
hâte,dogme,11,1348
brèche,fibre,11,1193
chèvre,sabre,11,925
cuisse,sucre,11,1376
havre,gage,10,241
bol,cube,10,560
singe,plume,10,335
chose,tacle,10,135
bec,frange,10,132
sens,tonne,10,303
style,muse,10,915
genre,fraude,10,531
siècle,diète,11,1534
trêve,zone,10,796
gorge,toast,10,866
acte,suite,10,853
corne,chiot,11,1238
mouche,stade,11,1402
preuve,soin,11,1546
veste,trousse,11,1339
veste,nappe,10,600
frousse,prisme,11,992
nuance,taxe,10,92
lièvre,herbe,0,1
dose,honte,10,328
âne,tresse,11,1336
gloire,prisme,10,219
script,dieu,11,1582
hâte,âme,11,990
lampe,siège,10,580
crabe,planche,12,1746
cure,hargne,11,1020
gorge,lièvre,11,1298
tigre,bec,10,659
suite,lien,11,1646
rythme,fugue,11,1334
gant,plume,11,1411
axe,cure,11,1233
bille,corne,10,163
hanche,feutre,10,370
ambre,gag,11,926
trèfle,lèvre,11,1104
chance,cancre,10,177
ski,dinde,10,339
havre,perte,10,181
seuil,race,11,1039
bol,huile,11,1641
trousse,drap,11,1558
flamme,cercle,11,1371
lien,cloître,10,214
mèche,cage,11,1283
flamme,lien,11,1377
tuile,four,10,576
quête,frousse,12,1800
pneu,clou,10,641
foudre,niche,11,1431
chose,pacte,10,781
truite,grotte,11,930
phoque,cidre,12,1670
tigre,trèfle,10,453
barbe,cercle,12,1739
pieuvre,douche,10,322
trousse,poivre,11,1187
huître,hache,10,180
slip,bouée,10,709
timbre,cintre,10,95
foudre,poivre,10,86
hanche,cirque,10,625
guêpe,laine,10,226
grue,cage,11,1042
chrome,hargne,12,1725
quiche,cidre,10,777
clope,parc,11,1509
scribe,nuance,10,561
choix,preuve,10,903
lèpre,centre,10,246
type,siècle,10,623
griffe,clope,10,32
casque,bouée,11,1277
torche,skieur,11,1480
scribe,lien,11,1326
axe,gamme,10,620
main,fraise,10,724
chance,asthme,10,636
spectre,soin,10,274
clown,bûche,11,1184
cintre,plume,10,431
chips,phoque,10,444
cran,charte,10,371
gant,guêpe,11,1069
cintre,cuisse,11,948
ongle,fraise,11,1061
trame,vanne,10,247
âge,lèpre,11,1258
chips,huître,10,743
suite,rôle,10,752
acte,brèche,10,203
thème,crise,10,837
laine,lustre,11,1146
dose,hertz,10,464
spasme,firme,12,1773
trame,norme,12,1768
fleuve,lièvre,10,268
fouet,cible,11,1624
dogme,cancre,11,1198
perte,hargne,10,873
fouet,jupe,10,722
truc,quête,10,557
mangue,scotch,12,1715
moule,planche,10,376
havre,tonne,10,546
rythme,zone,11,1005
preuve,loi,10,914
bûche,lustre,11,1170
bille,vigne,12,1728
lien,muse,10,655
lieu,cause,10,559
flot,fugue,10,543
poire,skieur,12,1656
crise,truc,10,216
sens,forme,12,1769
chèque,clou,11,1153
bec,huître,10,606
tacle,dose,10,500
rôle,crise,10,723
bouée,feuille,10,252
coude,drap,10,473
zinc,diète,12,1680
centre,dose,11,1498
chips,dinde,11,1603
zone,axe,11,1504
graine,huître,10,617
sabre,chiot,11,983
suite,stock,10,458
chips,tigre,11,1450
oeil,algue,10,631
soin,tort,10,291
sucre,stade,12,1736
malt,rage,10,479
croupe,stock,10,410
honte,dette,10,874
dogme,lieu,10,747
stade,flamme,10,776
cloître,flux,10,71
thème,membre,11,1256
âme,pacte,11,1492
cure,verbe,10,353
fraude,soin,11,1285
tête,cidre,10,474
moeurs,gré,12,1747
air,nymphe,10,660
pacte,âge,10,733
mouette,pneu,11,1389
blé,phoque,11,941
script,vanne,10,711
niche,chèvre,11,1148
quartz,dose,11,1096
muse,fibre,11,1006
moeurs,fièvre,12,1704
masque,planche,11,1370
coude,cidre,11,1180
siège,frange,10,594
folk,phase,10,506
bille,mèche,11,1422
hertz,sens,11,1589
bol,chèvre,11,1393
axe,clown,10,424
plume,chou,10,369
skieur,tigre,10,58
choix,fièvre,10,678
singe,drap,10,41
nappe,dinde,10,838
vrac,spasme,11,1488
flemme,croupe,11,1070
chiot,quille,10,54
herbe,trousse,11,1100
poivre,chou,10,871
planche,foudre,11,1092
faute,rôle,11,1592
frange,cercle,10,613
âme,hertz,11,1272
casque,steak,10,189
flèche,moule,10,398
flux,style,11,1287
coude,cirque,10,449
trèfle,niche,10,46
chose,centre,9,10
manche,slip,10,865
seuil,doute,10,715
niche,tresse,12,1696
chèque,bûche,10,701
perle,singe,11,1248
phase,heure,11,1570
bague,dinde,10,803
moeurs,stress,10,185
fraude,culte,11,1359
dette,ambre,10,416
nappe,miette,10,913
four,sabre,11,1354
couette,main,11,1418
feutre,stade,10,174
crêpe,oeil,10,90
peine,truie,11,1315
tigre,douche,12,1664
corne,feuille,11,1366
bulle,main,10,281
goût,verbe,10,433
ambre,tort,12,1671
fraise,soupe,10,792
chose,suite,10,864
forme,frousse,10,567
tête,siège,11,1232
blé,chips,12,1803
gant,mangue,10,624
rage,forme,10,640
rage,norme,10,590
clope,dinde,10,412
zèle,sens,11,1573
tronc,chèvre,11,1237
timbre,nuage,11,1204
scotch,toast,11,1590
vigne,poire,12,1815
guêpe,flèche,10,333
masque,bouée,10,693
taxe,joute,10,130
membre,quête,10,534
onde,style,12,1777
clou,grue,10,551
huile,barbe,11,1441
lampe,manche,10,419
onde,zone,11,1252
mouette,barque,10,876
siège,feuille,10,138
parc,pieuvre,10,97
gag,acte,11,1618
chance,fièvre,10,737
cible,huile,11,1121
culte,truc,12,1714
nymphe,nuance,11,1196
transe,script,10,391
choix,secte,10,843
script,fibre,11,1159
feutre,boule,10,244
vente,flot,10,201
nuage,tresse,12,1693
fille,gomme,11,1251
tacle,fougue,11,1461
cure,tact,10,263
rôle,base,10,749
corne,bulle,10,355
tête,parc,10,278
fraude,âme,10,798
quille,mouette,10,61
ruche,algue,10,153
membre,havre,10,583
flemme,genre,10,240
stock,fraude,10,675
casque,poule,11,1139
hâte,charte,10,85
clope,boule,10,746
race,joute,11,1286
graine,bol,10,761
lieu,peine,11,1307
quille,bec,11,1423
grange,guêpe,10,668
croupe,flux,10,289
faute,âge,10,765
nuance,air,10,690
mouette,fraise,11,1112
sucre,pelle,10,515
sabre,masque,10,878
grange,steak,11,1506
chiot,ruche,10,775
loi,heure,10,702
gag,race,10,192
slip,clown,12,1762
cuisse,drap,10,646
chrome,loi,12,1659
vente,cure,10,562
hanche,torche,12,1697
barbe,zèbre,11,945
flux,folk,12,1718
lampe,cirque,10,828
chrome,nacre,11,1594
gramme,genre,11,1226
vanne,mythe,10,521
nuée,gain,10,36
charte,suite,11,1471
main,nuage,12,1721
steak,bouée,11,1138
sens,base,10,852
verbe,gain,10,512
chips,poule,11,1453
truc,croupe,11,994
ongle,foudre,12,1690
nacre,sens,10,296
bec,trousse,11,932
prisme,gré,10,220
type,science,10,811
brosse,phoque,11,1077
casque,soupe,10,389
douche,oeil,12,1712
sabre,sucre,11,1028
firme,cancre,11,1324
bague,bouc,11,1023
trouille,stock,11,1499
lèvre,pelle,11,1085
gag,goût,11,1000
chiot,timbre,10,60
crise,cancre,10,839
tact,trame,10,482
crise,chance,10,779
goût,siècle,11,1481
trèfle,flûte,10,611
taille,fugue,11,1190
fugue,clan,11,1426
barque,grue,10,773
genre,faute,11,1528
forme,chose,10,889
chips,moufle,12,1757
tresse,bol,11,995
trame,seuil,12,1713
asthme,stock,10,356
clown,trèfle,11,1362
trouille,type,10,587
spasme,acte,10,447
lampe,singe,11,1281
dieu,crise,11,1634
poisse,heure,10,524
ordre,goût,10,74
jupe,cible,10,468
chou,vigne,11,1565
boule,pelle,9,9
joute,vanne,10,812
ongle,soupe,11,1323
herbe,miette,11,1465
crêpe,trousse,10,49
fugue,poisse,11,1560
flemme,gramme,10,490
tête,luge,12,1734
planche,sabre,10,615
luge,trèfle,11,1063
couette,niche,11,1605
malt,ambre,11,1588
acte,flux,11,1167
goût,houle,11,1267
perle,quille,11,1206
moeurs,mythe,10,810
nymphe,cloître,10,437
lien,scotch,10,881
lèpre,grade,10,154
truc,charte,10,598
axe,chance,10,608
membre,culte,11,1556
douche,pelle,11,1022
disque,barque,11,1235
drame,type,11,1222
flot,secte,10,648
flot,ordre,10,643
mythe,forme,11,1562
algue,boule,10,207
rôle,ordre,12,1764
trame,fibre,12,1787
tacle,lèpre,10,536
gré,honte,10,618
lèpre,moeurs,10,592
mangue,niche,10,67
laine,brosse,10,789
air,grade,10,182
hertz,score,12,1781
grappe,mangue,10,890
moufle,clope,11,1019
stress,dogme,10,700
gaufre,bague,11,1123
gaufre,douche,11,960
stress,mythe,11,1045
norme,spasme,11,1007
honte,dieu,11,1449
charte,muse,10,319
feuille,drap,11,1174
gage,cancre,11,1313
timbre,corne,10,117
trouille,faute,10,788
tête,fraise,10,211
dose,chance,12,1760
flûte,fouet,10,294
cage,siège,10,362
secte,spectre,10,784
zèle,nuance,12,1765
tonne,secte,11,1166
graine,pieuvre,10,359
flux,honte,10,312
feuille,crabe,10,48
tuile,corne,10,39
main,nappe,10,471
moule,pneu,10,100
charte,flemme,10,372
tuile,nappe,11,933
cure,fougue,11,1108
folk,poisse,10,73
hymne,acte,12,1796
lièvre,flûte,10,109
frousse,flemme,10,40
griffe,barque,10,45
race,zinc,11,982
pneu,chiot,10,373
barbe,sabre,11,1585
huître,boule,11,1456
huile,cintre,11,1179
nuage,casque,11,1404
nuance,cycle,11,1131
grue,disque,10,254
phase,joute,10,196
malt,forme,11,962
lustre,gaufre,10,266
fougue,dogme,11,1101
charte,tort,10,166
singe,grappe,10,212
four,torche,10,849
hache,gant,10,778
aigle,douche,10,405
transe,croupe,11,953
coude,pieuvre,10,179
poigne,lien,11,1611
toast,pneu,10,403
verbe,taxe,11,1016
quête,gramme,10,483
rôle,thème,10,911
cuisse,quille,10,530
cycle,lieu,10,272
doute,trouille,10,880
tronc,fille,10,795
vitre,stade,12,1720
herbe,cuisse,10,321
gag,flemme,11,1082
huître,vitre,10,206
skieur,ongle,11,1060
cercle,huile,10,440
huile,feuille,12,1809
sabre,mèche,10,685
clan,truc,10,564
gloire,doute,10,894
lèvre,moufle,11,1523
thème,stress,12,1752
cause,cancre,10,501
dogme,honte,11,1379
houle,nuance,10,56
norme,quête,11,1520
lièvre,moule,11,1446
axe,siècle,11,1216
algue,tuile,11,1057
tort,firme,11,1330
gomme,tête,11,1310
crise,drame,11,1647
gomme,manche,11,1124
fraude,asthme,12,1655
poivre,disque,10,131
tuile,bec,11,1081
nymphe,onde,10,510
air,âme,10,782
heure,peine,11,1451
base,mythe,11,1312
tronc,lustre,11,1294
prisme,hymne,10,457
plume,hache,10,167
cloître,taille,11,944
trame,gloire,11,1192
axe,goût,10,186
trèfle,quille,10,147
dogme,seuil,10,528
fougue,gag,10,426
crise,style,11,1018
